"regional";"municipio";"prestador_matricula";"prestador_nome";"ramo";"referencia";"remessa";"situacao";"valor_pagar";"observacoes"
BELO HORIZONTE;BELO HORIZONTE;4375843;ASSOCIACAO DOS PROFISSIONAIS DE SAUDE DO HOSPITAL BELO HORIZONTE- APSHBH;HOSP;"2025-12-01";2003364639;EMREVISAO;15822.38;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-11-01";2003357103;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003398822;PAGPROC;898.12;
MONTES CLAROS;MONTES CLAROS;48195;LABORATORIO EXAME LTDA;LABO;"2025-02-01";2003218853;EMREVISAO;0.00;
MURIAE;MURIAE;3714115;CEMAC - CENTRO MURIAEENSE DE APOIO A CIDADANIA;HOSP;"2025-05-01";2003421790;PAGPROC;239.60;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-11-01";2003389317;PAGPROC;26748.68;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-10-01";2003346159;EMREVISAO;0.00;
POUSO ALEGRE;POUSO ALEGRE;2762100;ALKMIM TEIXEIRA & TEIXEIRA LTDA;HOSP;"2024-07-01";2003420540;PAGPROC;0.00;
PASSOS;PASSOS;48077;IRMANDADE DA SANTA CASA DE MISERICORDIA DE PASSOS;HOSP;"2024-01-01";2002865490;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003430101;PAGPROC;6067.85;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-02-01";2003264610;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003353225;PAGPROC;1501.98;
UBERLANDIA;PATROCINIO;4042766;CLINICA ODONTOLOGIA AVANCADA ERICA CARVALHO S/S LTDA;CLINODON;"2022-06-01";2002524077;LIBPAGTO;0.00;
ITAUNA;PARA DE MINAS;3389683;OFTALMOLOGIA AVANCADA DE MINAS GERAIS LTDA;CLIN;"2022-12-01";2002607335;LIBPAGTO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2024-07-01";2003074041;EMREVISAO;0.00;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2024-10-01";2003428154;PAGPROC;12844.50;
PONTE NOVA;PONTE NOVA;4058053;AILO ODONTOLOGIA LTDA;CONSULTODON;"2023-04-01";2002684100;PAGPROC;0.00;
BELO HORIZONTE;BELO HORIZONTE;3897367;SAO MARCOS SAUDE E MEDICINA DIAGNOSTICA SA;LABO;"2024-09-01";2003123953;PAGPROC;0.00;
MONTES CLAROS;MONTES CLAROS;3889199;IRMANDADE NOSSA SENHORA DAS MERCES DE MONTES CLAROS;HOSP;"2025-12-01";2003430197;EMREVISAO;0.00;
UBERLANDIA;UBERLANDIA;3613278;HOSPITAL SANTA GENOVEVA LTDA;HOSP;"2025-11-01";2003389546;EMREVISAO;23704.05;
UBERLANDIA;UBERLANDIA;3267827;HOSPITAL E MATERNIDADE SANTA CLARA S/A;HOSP;"2025-12-01";2003399775;PAGPROC;12015.54;
UBA;UBA;3382877;BIOCORDIS CENTRO DIAGNOSTICO CLINICO CARDIOLOGICO LTDA;CLIN;"2024-02-01";2002879138;PAGPROC;2506.70;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-10-01";2003434454;PAGPROC;6698.98;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003423723;PAGPROC;5161.93;
UBA;UBA;3181689;BIOCORDIS CENTRO DIAGNOSTICO CLINICO CARDIOLOGICO LTDA;CLIN;"2024-01-01";2002858181;EMREVISAO;0.00;
CONTAGEM;BETIM;4105213;HOSPITAL MATER DEI S.A;HOSP;"2025-11-01";2003426955;PAGPROC;7894.68;
CORONEL FABRICIANO;IPATINGA;48184;FUNDACAO SAO FRANCISCO XAVIER;HOSP;"2025-12-01";2003409754;EMREVISAO;8230.30;
PONTE NOVA;RAUL SOARES;4125951;JONATHAS FIRMINO SAMPAIO COELHO;CONSULTODON;"2025-03-01";2003240489;LIBPAGTO;0.00;
DIVINOPOLIS;DIVINOPOLIS;2640304;CENTRO DE BIO-ANALISE LTDA;LABO;"2024-01-01";2002908911;EMREVISAO;0.00;
